date,long_range_storage,medium_range_storage,short_range_storage,total_storage_stock,low_storage_pressure
2026-01-02,4.5e-05,14116.3418355,0.0,14116.3418805,-2.1917034601204093
2026-01-09,4e-06,12710.276115714285,0.0,12710.276119714285,-1.7330182608538764
2026-01-16,0.0,10148.669570571428,0.0,10148.669570571428,-0.897373838519413
2026-01-23,0.0,9845.247284142857,0.0,9845.247284142857,-0.7983917597334076
2026-01-30,0.0,10224.904472142856,0.0,10224.904472142856,-0.9222431028124393
2026-02-06,0.0,9130.86331,0.0,9130.86331,-0.5653462189975131
2026-02-13,0.0,8115.038496285714,0.0,8115.038496285714,-0.23396498485235132
2026-02-20,0.0,5967.333477428571,0.0,5967.333477428571,0.46665694337789887
2026-02-27,0.0,5086.693888857143,0.0,5086.693888857143,0.7539382046328219
2026-03-06,0.0,6493.264739857143,0.0,6493.264739857143,0.2950882354017198
2026-03-13,1e-06,7620.946408571428,0.0,7620.946409571428,-0.07278281715351197
2026-03-20,0.0,8802.167935857144,0.0,8802.167935857144,-0.45811958181487217
2026-03-27,0.0,9218.40320657143,0.0,9218.40320657143,-0.5939033861105218
2026-04-03,0.0,9296.529002714286,0.0,9296.529002714286,-0.6193894959149578
2026-04-10,0.0,9210.999171142857,0.0,9210.999171142857,-0.5914880499572305
2026-04-17,0.0,8699.655686714284,0.0,8699.655686714284,-0.4246781505982572
2026-04-24,0.0,7453.411490285714,0.0,7453.411490285714,-0.01812976323537314
2026-05-01,0.0,6797.034151571429,0.0,6797.034151571429,0.1959929177933995
2026-05-08,0.0,6228.266451571429,0.0,6228.266451571429,0.381535680505354
2026-05-15,0.0,4534.042387714286,0.0,4534.042387714286,0.9342235589856703
2026-05-22,0.0,3394.3980715714288,0.0,3394.3980715714288,1.3059970526740807
2026-05-29,0.0,3011.5418147142855,0.0,3011.5418147142855,1.43089199241632
2026-06-05,0.0,3110.3481902857143,0.0,3110.3481902857143,1.3986594871297544
2026-06-12,0.0,3243.384755285714,0.0,3243.384755285714,1.3552604477472285
2026-06-19,0.0,2486.138879714286,0.0,2486.138879714286,1.6022883500098848
