date,avg_temperature_c,hdd,hdd_dev
2026-01-02,2.1375,26.725,-15.767166666666668
2026-01-09,0.6148809523809524,104.19583333333334,61.70366666666667
2026-01-16,5.010714285714285,73.425,30.932833333333328
2026-01-23,7.196428571428571,58.125,15.63283333333333
2026-01-30,5.302380952380952,71.38333333333333,28.891166666666656
2026-02-06,6.0130952380952385,66.40833333333333,23.916166666666662
2026-02-13,7.4625,56.262499999999996,13.770333333333326
2026-02-20,4.485714285714286,77.1,34.607833333333325
2026-02-27,10.92202380952381,32.045833333333334,-10.446333333333335
2026-03-06,8.79702380952381,46.920833333333334,4.428666666666665
2026-03-13,8.222619047619048,50.94166666666666,8.449499999999993
2026-03-20,7.9869047619047615,52.59166666666667,10.099499999999999
2026-03-27,7.441666666666667,56.40833333333333,13.916166666666662
2026-04-03,8.657738095238095,47.89583333333333,5.403666666666659
2026-04-10,10.288095238095238,36.483333333333334,-6.008833333333335
2026-04-17,9.960119047619047,38.77916666666667,-3.713000000000001
2026-04-24,9.623214285714285,41.1375,-1.3546666666666667
2026-05-01,12.74702380952381,19.27083333333333,-23.22133333333334
2026-05-08,11.980952380952383,24.633333333333333,-17.858833333333337
2026-05-15,9.823809523809524,39.733333333333334,-2.7588333333333352
2026-05-22,13.0625,21.275,-21.21716666666667
2026-05-29,21.51845238095238,0.0,-42.49216666666667
2026-06-05,15.597619047619048,4.799999999999999,-37.69216666666667
2026-06-12,13.441666666666666,15.012500000000003,-27.479666666666667
2026-06-19,16.327083333333334,0.75,-41.74216666666667
