date,sap_p_per_kwh,sap_7d_avg_p_per_kwh,sap_price_gbp_per_mwh,sap_7d_avg_gbp_per_mwh,sap_weekly_return_pct
2026-01-02,2.5938,2.581257142857143,25.938000000000002,25.81257142857143,
2026-01-09,2.6249,2.6346530612244896,26.249,26.346530612244898,1.199013031074081
2026-01-16,2.842457142857143,2.648469387755102,28.42457142857143,26.48469387755102,8.288206897677753
2026-01-23,3.359785714285714,3.2095244897959185,33.597857142857144,32.095244897959184,18.200048247994705
2026-01-30,3.4999571428571428,3.4425938775510203,34.99957142857143,34.425938775510204,4.172034781129752
2026-02-06,3.089042857142857,3.3235877551020407,30.890428571428572,33.23587755102041,-11.740551925125608
2026-02-13,2.7654428571428573,2.874951020408163,27.654428571428575,28.749510204081634,-10.47573682092927
2026-02-20,2.631614285714286,2.659624489795918,26.316142857142857,26.596244897959185,-4.839317908265805
2026-02-27,2.5350428571428574,2.5793551020408167,25.350428571428573,25.793551020408163,-3.669665007355616
2026-03-06,3.9077714285714285,3.1494102040816325,39.077714285714286,31.494102040816326,54.15011298766432
2026-03-13,4.559728571428571,4.536238775510204,45.59728571428571,45.362387755102034,16.683604831398235
2026-03-20,4.608042857142856,4.428763265306123,46.08042857142857,44.28763265306122,1.059586880171448
2026-03-27,4.6902,4.763671428571429,46.901999999999994,47.636714285714284,1.7829075250415993
2026-04-03,4.435657142857143,4.556720408163265,44.35657142857143,45.56720408163265,-5.4271215970077336
2026-04-10,4.1089142857142855,4.254038775510204,41.08914285714286,42.54038775510204,-7.366278470576104
2026-04-17,3.820642857142857,3.958279591836735,38.20642857142857,39.582795918367346,-7.015756682335283
2026-04-24,3.635614285714286,3.623236734693878,36.356142857142856,36.23236734693877,-4.8428648881078225
2026-05-01,3.799285714285714,3.7443326530612246,37.99285714285714,37.44332653061225,4.5018919970293725
2026-05-08,3.8623285714285713,3.852126530612245,38.623285714285714,38.52126530612245,1.6593344613649252
2026-05-15,4.033128571428572,3.9063489795918365,40.331285714285706,39.063489795918365,4.422202742239123
2026-05-22,4.351971428571429,4.297138775510204,43.51971428571428,42.97138775510204,7.905596151870764
2026-05-29,3.9444142857142857,4.102777551020408,39.44414285714286,41.02777551020408,-9.364885536275825
2026-06-05,4.019157142857143,3.960293877551021,40.19157142857143,39.60293877551021,1.8949038242143557
2026-06-12,4.091785714285714,4.073906122448979,40.917857142857144,40.73906122448979,1.807059760219798
2026-06-19,3.8173,4.042928571428571,38.173,40.42928571428571,-6.708213319368072
