date,nbp_price_p_per_therm,nbp_price_gbp_per_mwh,ttf_price_eur_per_mwh,nbp_change_gbp_per_mwh,ttf_change_eur_per_mwh,nbp_return_pct,ttf_return_pct
2026-02-06,67.56,23.05243439303104,35.694,,,,
2026-02-13,66.62,22.731693002719478,32.5,-0.3207413903115608,-3.1940000000000026,-1.3913558318531583,-8.948282624530746
2026-02-20,67.73,23.110440814683134,32.029,0.37874781196365603,-0.47099999999999653,1.6661663164215135,-1.4492307692307582
2026-02-27,68.76,23.461891487045804,31.959,0.35145067236267025,-0.07000000000000384,1.5207441311088088,-0.2185519373068323
2026-03-06,89.34,30.484080649398955,53.385,7.0221891623531505,21.426,29.93019197207678,67.042147751807
2026-03-13,92.23,31.470189817484503,50.115,0.986109168085548,-3.269999999999996,3.2348332214013897,-6.125316100028089
2026-03-20,114.93,39.21575317926373,59.255,7.745563361779226,9.14,24.6123820882576,18.238052479297618
2026-03-27,110.45,37.687113361608624,54.177,-1.5286398176551046,-5.078000000000003,-3.8980248847124255,-8.5697409501308
2026-04-03,102.09,34.83456227330579,50.044,-2.8525510883028318,-4.133000000000003,-7.569035762788589,-7.628698525204425
2026-04-10,88.63,30.241818535440217,43.638,-4.592743737865575,-6.405999999999999,-13.184445097463037,-12.800735352889458
2026-04-17,83.28,28.41632232462441,38.769,-1.8254962108158068,-4.869,-6.0363308134942955,-11.157706586003025
2026-04-24,93.91,32.043429749105165,44.861,3.627107424480755,6.091999999999999,12.764169068203636,15.713585596739655
2026-05-01,93.3,31.83528905964766,45.766,-0.20814068945750464,0.9050000000000011,-0.6495580875306217,2.017342457814131
2026-05-08,90.6,30.914010598114448,44.143,-0.9212784615332126,-1.6229999999999976,-2.893890675241162,-3.5463007472796293
2026-05-15,96.04,32.77021609098137,50.167,1.8562054928669234,6.024000000000001,6.004415011037545,13.646557778130175
2026-05-22,93.89,32.03660546420492,48.683,-0.7336106267764535,-1.4840000000000018,-2.2386505622657427,-2.958119879602128
2026-05-29,90.54,30.893537743413717,46.001,-1.1430677207912012,-2.682000000000002,-3.568005112365513,-5.50910995624756
2026-06-05,93.7,31.971774757652586,48.496,1.0782370142388693,2.4950000000000045,3.4901700905676902,5.423795134888376
2026-06-12,92.81,31.668094079591636,46.773,-0.30368067806094956,-1.722999999999999,-0.9498399146211423,-3.552870339821834
2026-06-19,92.81,31.668094079591636,42.21,0.0,-4.563000000000002,0.0,-9.755628247065617
