date,avg_temperature_c,hdd,hdd_dev,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION,wind_shortfall,hdd_z,wind_shortfall_z,real_driver_gti,sap_price_gbp_per_mwh,sap_7d_avg_gbp_per_mwh,sap_weekly_return_pct,sap_price_change_gbp_per_mwh
2026-01-09,0.6148809523809524,104.19583333333334,61.70366666666667,35356.916666666664,38206.24702380953,32098.511904761905,2279.0446428571427,873.6547619047618,15.90345320440474,2.4056734706053495,-0.0786015185599949,2.3270719520453547,26.249,26.346530612244894,1.199013031074081,0.31099999999999994
2026-01-16,5.010714285714285,73.425,30.932833333333328,33297.57440476191,35603.36309523809,30721.199404761905,2562.651785714286,600.7619047619048,-267.7036896527384,1.080533544594649,-0.4989344375184982,0.5815991070761505,28.42457142857143,26.48469387755102,8.288206897677753,2.1755714285714305
2026-01-23,7.196428571428571,58.125,15.63283333333333,32074.79464285714,34614.604166666664,29613.10714285714,2675.8184523809527,413.3511904761905,-380.87035631940535,0.4216420336520231,-0.6666582643925082,-0.245016230740485,33.597857142857144,32.095244897959184,18.200048247994705,5.173285714285715
2026-01-30,5.302380952380952,71.38333333333333,28.891166666666656,32409.113095238095,35109.25,30034.011904761905,3100.875,609.8779761904761,-805.9269039384526,0.9926095684612372,-1.2966327339464514,-0.3040231654852142,34.99957142857143,34.425938775510204,4.172034781129752,1.4017142857142844
2026-02-06,6.0130952380952385,66.40833333333333,23.916166666666665,32518.0505952381,35121.27678571428,29939.872023809523,2670.145833333333,504.25892857142856,-375.1977372717856,0.7783621653932923,-0.6582509002534933,0.1201112651397989,30.890428571428572,33.23587755102041,-11.740551925125608,-4.1091428571428565
2026-02-13,7.4625,56.2625,13.770333333333326,32006.854166666664,36345.46726190475,29365.922619047615,1895.4613095238096,584.7797619047619,399.486786537738,0.3414338350160334,0.4899056795998471,0.8313395146158805,27.654428571428575,28.74951020408163,-10.47573682092927,-3.235999999999997
2026-02-20,4.485714285714286,77.1,34.607833333333325,32198.026785714286,35757.06547619047,29566.11904761905,2664.916666666667,1085.595238095238,-369.9685706051196,1.2387967016347892,-0.6505007749689994,0.5882959266657898,26.316142857142857,26.596244897959185,-4.839317908265805,-1.3382857142857176
2026-02-27,10.92202380952381,32.045833333333334,-10.446333333333335,28200.08630952381,31311.41964285714,26048.970238095237,3028.3184523809527,1271.9970238095236,-733.3703563194053,-0.7014521839378175,-1.1890969887496954,-1.8905491726875128,25.350428571428573,25.793551020408163,-3.669665007355616,-0.9657142857142844
2026-03-06,8.79702380952381,46.920833333333334,4.428666666666665,28561.675595238095,31150.449404761905,26143.214285714286,1916.169642857143,1817.5744047619048,378.7784532044045,-0.0608632149658201,0.4592139483935203,0.3983507334277002,39.077714285714286,31.49410204081633,54.15011298766432,13.727285714285713
2026-03-13,8.222619047619048,50.94166666666666,8.449499999999993,28621.988095238095,30987.526785714286,26528.988095238095,2850.5297619047624,1420.139880952381,-555.581665843215,0.1122931870112041,-0.925597140075892,-0.8133039530646878,45.59728571428571,45.362387755102034,16.683604831398235,6.519571428571425
2026-03-20,7.9869047619047615,52.59166666666667,10.0995,26887.479166666664,29449.895833333336,24731.791666666668,2204.7113095238096,2856.336309523809,90.23678653773776,0.1833501146618797,0.0315675930538605,0.2149177077157403,46.08042857142857,44.28763265306122,1.059586880171448,0.4831428571428589
2026-03-27,7.441666666666667,56.40833333333333,13.916166666666662,27107.089285714286,29478.761904761905,24957.839285714286,2409.827380952381,2505.297619047619,-114.8792848908338,0.3477141190255629,-0.2724340486547936,0.0752800703707692,46.901999999999994,47.63671428571429,1.782907525041599,0.8215714285714242
2026-04-03,8.657738095238095,47.89583333333333,5.403666666666659,25954.185817805384,29192.068969979297,23932.932194616977,2950.966744306418,2408.7283902691515,-656.0186482448707,-0.0188750304449667,-1.0744543569956262,-1.093329387440593,44.35657142857143,45.56720408163265,-5.4271215970077336,-2.545428571428566
2026-04-10,10.288095238095238,36.483333333333334,-6.008833333333335,23059.389880952374,25592.470238095237,21019.401785714286,2406.565476190476,3429.8214285714284,-111.61738012892874,-0.5103521133621376,-0.2675995937249091,-0.7779517070870468,41.08914285714286,42.54038775510204,-7.366278470576104,-3.2674285714285674
2026-04-17,9.960119047619049,38.77916666666667,-3.713000000000001,24245.50595238095,28435.059523809523,22417.133928571428,2962.625,2886.1190476190473,-667.6769039384526,-0.4114824993835463,-1.0917330073013989,-1.503215506684945,38.20642857142857,39.582795918367346,-7.015756682335283,-2.882714285714293
