date,south_hook_entry_energy,south_hook_entry_energy_gwh,low_south_hook_lng_pressure
2026-01-02,423626387.0,423.626387,-0.6257335709993804
2026-01-09,611311117.4285715,611.3111174285714,-1.4564149326139115
2026-01-16,556439296.2857143,556.4392962857142,-1.213555542842911
2026-01-23,517740086.14285713,517.7400861428571,-1.0422751595028834
2026-01-30,492296821.0,492.29682099999997,-0.9296647937873214
2026-02-06,593781748.0,593.781748,-1.3788309947415043
2026-02-13,643375796.4285715,643.3757964285714,-1.5983312789817363
2026-02-20,580249609.5714285,580.2496095714286,-1.3189385615652205
2026-02-27,443286505.71428573,443.28650571428574,-0.7127480774314927
2026-03-06,399460313.4285714,399.4603134285714,-0.5187759785870819
2026-03-13,364423411.71428573,364.4234117142857,-0.36370475272700115
2026-03-20,289356350.4285714,289.35635042857143,-0.03146244117171885
2026-03-27,301245233.4285714,301.2452334285714,-0.08408192436550141
2026-04-03,199094840.14285713,199.09484014285712,0.36802959046191663
2026-04-10,56613492.0,56.613492,0.9986434928807204
2026-04-17,56637301.28571428,56.63730128571428,0.9985381144099678
2026-04-24,61696427.85714286,61.69642785714286,0.976146723595498
2026-05-01,54049603.14285714,54.049603142857144,1.0099911112086286
2026-05-08,53976587.0,53.976586999999995,1.0103142762782105
2026-05-15,55418651.571428575,55.418651571428576,1.0039317849642129
2026-05-22,59134920.428571425,59.13492042857143,0.9874838018633608
2026-05-29,60564683.0,60.564683,0.9811557584636247
2026-06-05,59121032.28571428,59.121032285714286,0.9875452699507887
2026-06-12,62934523.71428572,62.93452371428571,0.9706669855791326
2026-06-19,60357870.166666664,60.357870166666665,0.9820710996616029
