date,rough_opening_stock,rough_low_storage_pressure
2026-01-02,45.0,-4.780237380400298
2026-01-09,4.0,-0.22233662234419993
2026-01-16,0.0,0.22233662234419993
2026-01-23,0.0,0.22233662234419993
2026-01-30,0.0,0.22233662234419993
2026-02-06,0.0,0.22233662234419993
2026-02-13,0.0,0.22233662234419993
2026-02-20,0.0,0.22233662234419993
2026-02-27,0.0,0.22233662234419993
2026-03-06,0.0,0.22233662234419993
2026-03-13,1.0,0.11116831117209997
2026-03-20,0.0,0.22233662234419993
2026-03-27,0.0,0.22233662234419993
2026-04-03,0.0,0.22233662234419993
2026-04-10,0.0,0.22233662234419993
2026-04-17,0.0,0.22233662234419993
2026-04-24,0.0,0.22233662234419993
2026-05-01,0.0,0.22233662234419993
2026-05-08,0.0,0.22233662234419993
2026-05-15,0.0,0.22233662234419993
2026-05-22,0.0,0.22233662234419993
2026-05-29,0.0,0.22233662234419993
2026-06-05,0.0,0.22233662234419993
2026-06-12,0.0,0.22233662234419993
2026-06-19,0.0,0.22233662234419993
