driver,corr_with_sap_price_change,corr_with_sap_return_pct
ttf_return_pct,0.7530932001721021,0.8243960956775012
ttf_change_eur_per_mwh,0.6922346425136001,0.7482088849608124
nbp_return_pct,0.6431846660822518,0.6631951341106959
nbp_change_gbp_per_mwh,0.574381251708993,0.5746323849302907
gti_v2_storage,0.21145910280087346,0.19395854376252292
gti_v3_lng,0.120824445431348,0.12162771459023021
