variable,coefficient,p_value
const,0.0019013306031842835,0.7028029456926271
gti,0.0017792119077229657,0.5003346673938744
ttf_return,1.1770091966614087,7.452506629946179e-05
nbp_lag_return,-0.24369250019322178,0.2779280377094875
