date,sap_weekly_return_pct,nbp_return_pct,ttf_return_pct,gti_v2_storage,fitted_sap_return_pct,model_error_pct_points,absolute_error_pct_points,diagnostic_note
2026-02-13,-10.47573682092927,-1.3913558318531585,-8.948282624530746,0.5973745297635292,-6.620411457144676,-3.855325363784595,3.855325363784595,reasonable fit
2026-02-20,-4.839317908265805,1.6661663164215137,-1.4492307692307582,1.0549528700436883,-1.2687014877260232,-3.570616420539782,3.570616420539782,reasonable fit
2026-02-27,-3.669665007355616,1.5207441311088088,-0.2185519373068323,-1.1366109680546908,-0.05922761566410653,-3.610437391691509,3.610437391691509,reasonable fit
2026-03-06,54.15011298766432,29.93019197207678,67.042147751807,0.69343896882942,47.436979641125106,6.713133346539216,6.713133346539216,reasonable fit
2026-03-13,16.683604831398235,3.2348332214013897,-6.125316100028089,-0.8860867702181998,-6.384209296275518,23.067814127673753,23.067814127673753,large miss - needs local/lagged explanation
2026-03-20,1.059586880171448,24.6123820882576,18.238052479297615,-0.2432018740991319,5.146314554664981,-4.086727674493533,4.086727674493533,reasonable fit
2026-03-27,1.782907525041599,-3.8980248847124255,-8.5697409501308,-0.5186233157397526,-4.988512129728247,6.771419654769846,6.771419654769846,reasonable fit
2026-04-03,-5.4271215970077336,-7.569035762788589,-7.628698525204425,-1.712718883355551,-2.2419745814393206,-3.185147015568413,3.185147015568413,reasonable fit
2026-04-10,-7.366278470576104,-13.184445097463035,-12.800735352889458,-1.3694397570442771,-4.138497728458922,-3.227780742117182,3.227780742117182,reasonable fit
2026-04-17,-7.015756682335283,-6.0363308134942955,-11.157706586003023,-1.9278936572832024,-6.281129744780577,-0.7346269375547063,0.7346269375547063,reasonable fit
2026-04-24,-4.8428648881078225,12.764169068203636,15.713585596739655,0.7988778272430009,8.881238824403251,-13.724103712511074,13.724103712511074,large miss - needs local/lagged explanation
2026-05-01,4.5018919970293725,-0.6495580875306217,2.017342457814131,0.213068644837291,3.113574753229156,1.3883172438002167,1.3883172438002167,reasonable fit
2026-05-08,1.6593344613649252,-2.893890675241162,-3.5463007472796293,1.439088251220306,-0.8692518833960645,2.5285863447609898,2.5285863447609898,reasonable fit
2026-05-15,4.422202742239123,6.004415011037545,13.646557778130177,1.3259978330275983,10.434075887776077,-6.011873145536954,6.011873145536954,reasonable fit
2026-05-22,7.905596151870764,-2.2386505622657427,-2.958119879602128,0.7519709421966639,-0.6620872102714848,8.56768336214225,8.56768336214225,large miss - needs local/lagged explanation
2026-05-29,-9.364885536275825,-3.568005112365513,-5.50910995624756,1.19193078674789,-2.3345774724298596,-7.030308063845965,7.030308063845965,reasonable fit
