,nbp_return_pct,ttf_return_pct,jkm_return_pct
nbp_return_pct,1.0,0.8606255233732591,0.554150438081304
ttf_return_pct,0.8606255233732591,1.0,0.6024191842604844
jkm_return_pct,0.554150438081304,0.6024191842604844,1.0
